epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.707,0.98667,0.82636,1.08644,0.93392,0.42388,0.52532,0.36928,0.9325,1.71063,1.19339,0.0701195,0.00332005,0.00332005
2,210.687,0.9512,0.63689,1.0727,0.46795,0.69315,0.65155,0.47064,0.76194,0.71806,1.02364,0.0400537,0.00658752,0.00658752
3,295.213,0.9161,0.58791,1.05029,0.65974,0.71312,0.71764,0.4903,0.9073,0.61405,1.08349,0.00992178,0.00978898,0.00978898
4,379.337,0.90076,0.57167,1.04797,0.73522,0.82539,0.78902,0.5425,0.75237,0.4227,1.01435,0.009703,0.009703,0.009703
5,463.291,0.87801,0.54495,1.04004,0.82821,0.81457,0.80613,0.53584,0.73905,0.39438,1.00747,0.009604,0.009604,0.009604
6,547.617,0.86189,0.52172,1.02831,0.76424,0.78936,0.76917,0.55409,0.76727,0.40767,1.01386,0.009505,0.009505,0.009505
7,631.438,0.84507,0.5029,1.01999,0.83344,0.88218,0.89158,0.66762,0.68639,0.36088,0.96664,0.009406,0.009406,0.009406
8,715.38,0.83276,0.49212,1.01171,0.78814,0.94601,0.87005,0.65118,0.68763,0.37878,0.97636,0.009307,0.009307,0.009307
9,799.878,0.83135,0.48527,1.01301,0.86064,0.87178,0.89825,0.64305,0.69409,0.34301,0.97616,0.009208,0.009208,0.009208
10,883.331,0.81197,0.47436,1.00168,0.84458,0.92544,0.89549,0.66662,0.66602,0.32502,0.95652,0.009109,0.009109,0.009109
11,967.651,0.80517,0.46246,1.0013,0.82005,0.922,0.88447,0.63998,0.67673,0.33385,0.9676,0.00901,0.00901,0.00901
12,1052.01,0.80152,0.46044,0.99618,0.8613,0.90349,0.90442,0.68757,0.65957,0.32252,0.95179,0.008911,0.008911,0.008911
13,1135.81,0.79468,0.4515,0.99703,0.83597,0.86879,0.86305,0.65029,0.68669,0.33688,0.96279,0.008812,0.008812,0.008812
14,1219.64,0.79472,0.45486,0.9962,0.86147,0.88769,0.88201,0.66572,0.65016,0.31335,0.95503,0.008713,0.008713,0.008713
